"ship_country","total_revenue","revenue_per"
"USA","245584.61","19.40"
"Germany","230284.63","18.19"
"Austria","128003.84","10.11"
"Brazil","106925.78","8.45"
"France","81358.32","6.43"
"UK","58971.31","4.66"
"Venezuela","56810.63","4.49"
"Sweden","54495.14","4.31"
"Canada","50196.29","3.97"
"Ireland","49979.91","3.95"
"Belgium","33824.86","2.67"
"Denmark","32661.02","2.58"
"Switzerland","31692.66","2.50"
"Mexico","23582.08","1.86"
"Finland","18810.05","1.49"
"Spain","17983.20","1.42"
"Italy","15770.16","1.25"
"Portugal","11472.36","0.91"
"Argentina","8119.10","0.64"
"Norway","5735.15","0.45"
"Poland","3531.95","0.28"
